,title,year_published,min_players,max_players,play_time,pt_min,pt_max,age,categories,mechanics,subdomain,num_honors
201,The Rose King,1992,2,4,30,30,30,10,"['Abstract Strategy', 'Medieval']",[],Abstract Games,0
202,Targui,1988,2,4,120,120,120,12,['Wargame'],[],Strategy Games,1
203,Skworms,1997,2,4,30,30,30,6,"['Action / Dexterity', ""Children's Game"", 'Horror']",[],Children's Games,0
204,Stephenson's Rocket,1999,2,4,60,60,60,12,"['Trains', 'Transportation']",[],Strategy Games,1
300,Tutankhamen,1993,2,6,30,30,30,8,"['Abstract Strategy', 'Ancient']",[],Family Games,2
301,Campanile,1996,2,5,30,30,30,10,['Card Game'],[],Family Games,2
302,Forum Romanum,1988,2,6,45,45,45,10,"['Abstract Strategy', 'Ancient']",[],Abstract Games,1
303,Koalition,1992,4,10,90,90,90,12,"['Card Game', 'Negotiation', 'Political']",[],Strategy Games,2
700,Battle Masters,1992,2,2,60,60,60,9,"['Fantasy', 'Fighting', 'Miniatures', 'Wargame']",[],Wargames,0
701,A House Divided: War Between the States 1861-65,1981,2,2,240,240,240,12,"['American Civil War', 'Wargame']",[],Wargames,4
702,Wabbit Wampage,1985,2,4,120,120,120,12,"['Comic Book / Strip', 'Farming', 'Humor']",[],Thematic Games,2
703,Roman Civil War,1993,2,2,120,120,120,12,"['Ancient', 'Civil War', 'Wargame']",[],Wargames,0
704,Montgolfiere,1992,2,6,45,45,45,7,"['Aviation / Flight', 'Racing']",[],Family Games,0
705,Caesar in Gallia: Conquest on the Ancient Frontier,1993,2,2,300,300,300,0,"['Ancient', 'Wargame']",[],Wargames,0
706,Frederick the Great: The Campaigns of The Soldier King 1756-1759,1975,2,4,240,180,240,12,"['Age of Reason', 'Wargame']",[],Wargames,0
707,When Tigers Fight,1994,2,2,300,300,300,14,"['Wargame', 'World War II']",[],Wargames,0
708,Holy War: Afghanistan,1991,2,2,180,180,180,12,"['Modern Warfare', 'Political', 'Wargame']",[],Wargames,0
709,Dragons of Glory,1986,2,2,180,180,180,12,"['Fantasy', 'Novel-based', 'Wargame']",[],Wargames,0
710,Snit's Revenge!,1977,2,2,20,20,20,8,"['Fantasy', 'Fighting']",[],Family Games,0
711,Elfenroads,1992,2,6,120,120,120,10,"['Fantasy', 'Transportation']",[],Strategy Games,0
712,Blood Bowl (Third Edition),1994,2,2,180,180,180,12,"['Fantasy', 'Fighting', 'Miniatures', 'Sports']",[],Strategy Games,0
713,Nuclear War,1965,2,6,60,60,60,10,"['Card Game', 'Humor', 'Modern Warfare', 'Negotiation', 'Political']",[],Thematic Games,0
714,Talisman,1983,2,6,240,240,240,9,"['Adventure', 'Exploration', 'Fantasy', 'Fighting']",[],Thematic Games,1
715,Escape from Colditz,1973,2,6,180,180,180,12,"['Adventure', 'World War II']",[],Thematic Games,0
716,Pizza Party,1987,2,4,15,10,15,4,"[""Children's Game"", 'Memory']",[],Children's Games,0
718,Galaxy: The Dark Ages,2000,2,5,90,90,90,12,"['Card Game', 'Science Fiction']",[],Strategy Games,0
719,Tyranno Ex,1990,2,4,120,120,120,12,"['Fighting', 'Prehistoric']",[],Strategy Games,0
720,Fast Food Franchise,1992,2,5,180,90,180,12,['Economic'],[],Strategy Games,0
1000,Corona,1974,2,10,45,45,45,12,"['Abstract Strategy', 'Dice']",[],Abstract Games,0
1001,Vendetta,1988,2,4,30,30,30,8,['Mafia'],[],Children's Games,0
1002,Cosmic Eidex,1998,3,3,60,60,60,10,['Card Game'],[],Strategy Games,0
1700,Outpost Gamma,1981,2,2,120,120,120,12,"['Print & Play', 'Science Fiction', 'Wargame']",[],Wargames,0
1701,Toscana,2001,2,2,60,45,60,10,"['City Building', 'Medieval']",[],Abstract Games,2
1702,Klondike,1993,2,4,20,20,20,6,"['Action / Dexterity', 'Bluffing', ""Children's Game""]",[],Children's Games,2
1800,Mythos,1996,1,10,45,45,45,10,"['Adventure', 'Card Game', 'Collectible Components', 'Fighting', 'Horror', 'Novel-based']",[],Customizable Games,2
2100,Myth Fortunes,1990,2,6,90,90,90,10,"['Fantasy', 'Novel-based']",[],Family Games,0
2101,Orbit War,1983,2,2,60,60,60,12,"['Science Fiction', 'Wargame']",[],Wargames,0
2300,Invasion Sicily,1998,2,2,360,360,360,12,"['Wargame', 'World War II']",[],Wargames,2
2301,The New Dungeon!,1989,1,6,45,45,45,8,"['Adventure', 'Dice', 'Exploration', 'Fantasy', 'Fighting', 'Medieval']",[],Thematic Games,0
2400,The Brotherhood,1972,2,5,180,60,180,10,"['Bluffing', 'Fighting', 'Mafia', 'Negotiation']",[],Strategy Games,0
2500,Express Chess,1996,2,2,0,0,0,8,"['Abstract Strategy', 'Card Game']",[],Abstract Games,0
2501,Global Chess,1997,2,2,90,90,90,12,['Abstract Strategy'],[],Abstract Games,0
2800,The Ironclads: A Tactical Level Game of Naval Combat in the American Civil War 1861-1865,1979,1,8,120,120,120,12,"['American Civil War', 'Civil War', 'Nautical', 'Post-Napoleonic', 'Wargame']",[],Wargames,1
3000,1806: Rossbach Avenged,1998,2,2,120,120,120,12,"['Napoleonic', 'Wargame']",[],Wargames,0
3600,Fifth Frontier War,1981,2,4,360,240,360,12,"['Science Fiction', 'Wargame']",[],Wargames,1
3601,MegaNation,1990,2,8,180,180,180,0,"['Abstract Strategy', 'Economic', 'Modern Warfare', 'Negotiation', 'Political']",[],Abstract Games,0
3602,Kriegspiel,1970,2,2,120,60,120,12,"['Modern Warfare', 'Wargame']",[],Wargames,0
3603,The Normandy Campaign,1983,2,2,240,240,240,12,"['Aviation / Flight', 'Nautical', 'Wargame', 'World War II']",[],Wargames,0
3604,Mamba,2001,2,4,30,30,30,9,['Abstract Strategy'],[],Abstract Games,1
3605,The Third World War: Battle for Germany,1984,2,2,360,360,360,12,"['Modern Warfare', 'Wargame']",[],Wargames,1
3800,Himalaya,2002,3,4,60,60,60,8,"['Economic', 'Medieval', 'Political']",[],Strategy Games,6
3801,When Darkness Comes,2002,1,6,90,90,90,10,"['Dice', 'Horror', 'Zombies']",[],Thematic Games,0
3802,Arena,2002,2,2,30,30,30,12,"['Ancient', 'Dice', 'Wargame']",[],Wargames,0
3803,Counter Space: The CGME Space Opera Gameworld,2002,2,2,30,30,30,10,"['Dice', 'Print & Play', 'Science Fiction', 'Wargame']",[],Wargames,0
3804,Slamwich,1994,2,6,20,20,20,6,"['Card Game', ""Children's Game""]",[],Children's Games,0
4100,Starfarers of Catan: 5-6 Player Expansion,2001,5,6,120,90,120,12,"['Civilization', 'Expansion for Base-game', 'Exploration', 'Negotiation', 'Science Fiction']",[],Strategy Games,0
4101,Catan: Cities & Knights – 5-6 Player Extension,2000,5,6,120,120,120,12,"['Expansion for Base-game', 'Medieval', 'Negotiation']",[],Family Games,0
4102,Europa Universalis,1993,1,6,3600,3600,3600,14,"['Age of Reason', 'Civilization', 'Pike and Shot', 'Political', 'Renaissance', 'Wargame']",[],Wargames,0
4103,Catan: Seafarers – 5-6 Player Extension,1999,5,6,120,120,120,10,"['Civilization', 'Expansion for Base-game', 'Exploration', 'Nautical', 'Negotiation']",[],Family Games,0
4200,"Black Wednesday: The Battle of Krasni Bor, 10-11 Feb 1943",1995,2,2,240,240,240,12,"['Wargame', 'World War II']",[],Wargames,2
4201,GD '40,1993,2,2,360,360,360,12,"['Wargame', 'World War II']",[],Wargames,1
4202,GD '41,1996,2,2,240,240,240,12,"['Wargame', 'World War II']",[],Wargames,3
4204,Tunisia,1995,2,2,360,360,360,16,"['Wargame', 'World War II']",[],Wargames,3
4205,On to Richmond!,1998,2,2,180,180,180,12,"['American Civil War', 'Wargame']",[],Wargames,0
4206,Roads to Gettysburg,1993,2,2,180,180,180,12,"['American Civil War', 'Wargame']",[],Wargames,1
4207,"Kharkov: The Soviet Spring Offensive, 1942",1978,2,2,240,240,240,12,"['Wargame', 'World War II']",[],Wargames,0
4208,"The Kaiser's Battle: The German Offensive, March 1918",1980,2,2,180,180,180,12,"['Wargame', 'World War I']",[],Wargames,0
4209,Monza,2000,2,6,10,10,10,5,"[""Children's Game"", 'Dice', 'Racing', 'Sports']",[],Children's Games,1
4210,Stonewall's Last Battle: The Chancellorsville Campaign,1996,1,2,180,180,180,12,"['American Civil War', 'Wargame']",[],Wargames,0
4211,Stonewall Jackson's Way,1992,1,2,180,180,180,12,"['American Civil War', 'Post-Napoleonic', 'Wargame']",[],Wargames,1
4212,Here Come the Rebels,1993,2,2,180,180,180,12,"['American Civil War', 'Wargame']",[],Wargames,1
4213,Mao,0,2,20,60,5,60,13,"['Card Game', 'Humor', 'Memory', 'Party Game']",[],Party Games,0
4214,Stonewall in the Valley,1995,2,2,840,60,840,12,"['American Civil War', 'Wargame']",[],Wargames,1
4215,One-Page Bulge,1980,2,2,120,60,120,12,"['Wargame', 'World War II']",[],Wargames,0
4216,Boxum,1998,1,6,20,20,20,0,"['Abstract Strategy', ""Children's Game"", 'Dice']",[],Abstract Games,0
4217,Alexandros,1991,2,2,240,240,240,12,"['Ancient', 'Wargame']",[],Wargames,3
4218,O Zoo le Mio,2002,2,4,60,45,60,9,['Animals'],[],Family Games,6
4300,The Barbarians: Games of the Fall of Rome and the Mongol Invasion of Europe,1981,2,3,120,120,120,12,"['Ancient', 'Medieval', 'Wargame']",[],Wargames,0
4303,The Fall of South Vietnam: A Game of Combat in South Vietnam – 1973-1975,1981,2,2,120,60,120,12,"['Civil War', 'Modern Warfare', 'Vietnam War', 'Wargame']",[],Wargames,0
4400,Overlords,2002,2,6,120,120,120,12,"['Fantasy', 'Wargame']",[],Wargames,0
4401,Canal Grande,2002,2,2,45,30,45,12,"['Card Game', 'Renaissance']",[],Strategy Games,1
4500,Like Lions They Fought,1994,2,2,120,120,120,12,"['Post-Napoleonic', 'Wargame']",[],Wargames,0
4900,Richie Rich,1982,2,4,20,20,20,6,"[""Children's Game"", 'Movies / TV / Radio theme']",[],Children's Games,0
4901,Inspector Gadget Game,1983,2,4,20,20,20,6,"[""Children's Game"", 'Movies / TV / Radio theme']",[],Children's Games,0
5200,Helltank,1981,2,2,60,60,60,12,"['Science Fiction', 'Wargame']",[],Wargames,0
5400,Changgi,0,2,2,60,60,60,8,['Abstract Strategy'],[],Abstract Games,0
5700,"Air Bridge to Victory: Operation Market-Garden, 1944",1990,2,4,240,240,240,12,"['Wargame', 'World War II']",[],Wargames,1
5701,Dark Blades,1986,2,8,120,120,120,12,"['Fantasy', 'Medieval', 'Wargame']",[],Wargames,0
5702,Second World War at Sea: Eastern Fleet,2001,2,2,120,120,120,12,"['Nautical', 'Wargame', 'World War II']",[],Wargames,0
5704,Capt'n Clever,2003,3,4,30,30,30,6,"[""Children's Game"", 'Deduction', 'Memory', 'Nautical', 'Pirates']",[],Children's Games,1
5900,Aliens Predator,1997,2,3,45,45,45,12,"['Card Game', 'Collectible Components', 'Fighting', 'Movies / TV / Radio theme', 'Science Fiction']",[],Customizable Games,0
6000,The Italian Campaign: Anzio,1992,2,2,240,240,240,12,"['Wargame', 'World War II']",[],Wargames,0
6001,Mozaic,2003,2,2,45,35,45,7,['Abstract Strategy'],[],Abstract Games,0
6002,The Italian Campaign: Med War,1993,1,2,360,120,360,12,"['Expansion for Base-game', 'Nautical', 'Wargame', 'World War II']",[],Wargames,0
6003,Donau Front,1989,2,2,300,300,300,12,"['Modern Warfare', 'Wargame']",[],Wargames,1
6004,The Indian Mutiny,1988,2,2,300,300,300,12,"['Post-Napoleonic', 'Wargame']",[],Wargames,1
6005,Korea: The Mobile War,1987,2,2,240,240,240,12,"['Korean War', 'Wargame']",[],Wargames,1
6006,Iron Cross,1990,2,2,240,240,240,12,"['Wargame', 'World War II']",[],Wargames,0
6007,Fortress Stalingrad,1988,2,2,240,240,240,12,"['Wargame', 'World War II']",[],Wargames,0
6008,Ruweisat Ridge: The First Battle of El Alamein,1985,2,2,240,240,240,12,"['Wargame', 'World War II']",[],Wargames,0
6009,Soldiers of the Queen: Battles at Isandhlwana and Omdurman,1984,2,2,240,240,240,12,"['Post-Napoleonic', 'Wargame']",[],Wargames,0
6010,Phantom Rallye,2003,2,4,30,30,30,5,"[""Children's Game""]",[],Children's Games,6
6011,Disneyland Monorail Game,1960,2,4,20,20,20,5,"[""Children's Game"", 'Movies / TV / Radio theme', 'Racing']",[],Children's Games,0
6012,Mary Poppins Carousel Game,1964,2,4,20,20,20,5,"[""Children's Game"", 'Movies / TV / Radio theme']",[],Children's Games,0
6100,Heavy Metal L-Gaim Expansion kit,1985,2,2,90,90,90,10,"['Expansion for Base-game', 'Movies / TV / Radio theme', 'Science Fiction', 'Wargame']",[],Wargames,0
6101,Aura Battler Dunbine,1983,2,2,120,120,120,12,"['Movies / TV / Radio theme', 'Science Fiction', 'Wargame']",[],Wargames,0
6102,L-Gaim Mark II: Sveet,1986,2,2,90,90,90,12,"['Movies / TV / Radio theme', 'Science Fiction', 'Wargame']",[],Wargames,0
6500,Toothache,1979,2,4,10,10,10,6,"['Action / Dexterity', ""Children's Game"", 'Electronic', 'Humor']",[],Children's Games,0
6503,Harpoon: Captain's Edition,1990,2,4,90,90,90,10,"['Modern Warfare', 'Nautical', 'Wargame']",[],Wargames,0
6504,Ace of Aces: Wingleader,1988,2,2,20,20,20,10,"['Aviation / Flight', 'Wargame', 'World War II']",[],Wargames,0
6700,Command Decision 2nd Edition,1992,2,2,360,360,360,12,"['Miniatures', 'Modern Warfare', 'Wargame', 'World War II']",[],Wargames,0
6701,Battlecards: World Conflict – Pacific Theatre: Starter Set,2003,2,8,60,60,60,10,"['Card Game', 'Fighting', 'Wargame', 'World War II']",[],Wargames,0
6702,Battlecards: World Conflict – The Russian Front – Starter Set,2003,2,8,60,60,60,10,"['Card Game', 'Fighting', 'Wargame', 'World War II']",[],Wargames,0
6900,Monster Fressen,1998,2,6,30,30,30,7,"[""Children's Game"", 'Dice', 'Humor']",[],Children's Games,0
6901,Euchre,1848,2,7,45,45,45,8,['Card Game'],[],Family Games,0
6902,Tetris,1989,2,2,30,30,30,7,"['Abstract Strategy', 'Puzzle', 'Video Game Theme']",[],Abstract Games,0
7200,Orbit War,1977,2,4,90,90,90,12,"['Science Fiction', 'Wargame']",[],Wargames,0
7201,Space Fighters,1978,2,4,120,120,120,12,"['Movies / TV / Radio theme', 'Science Fiction', 'Wargame']",[],Wargames,0
7202,Pacific Theatre Via Midway,1979,2,2,120,120,120,12,"['Expansion for Base-game', 'Nautical', 'Wargame', 'World War II']",[],Wargames,0
7203,Ophidian 2350 CCG,2003,2,2,30,30,30,8,"['Card Game', 'Collectible Components']",[],Customizable Games,0
7204,China Moon,1996,2,5,30,30,30,8,"['Abstract Strategy', 'Animals', ""Children's Game"", 'Racing']",[],Family Games,0
7400,LEGO Creator,1999,2,4,30,30,30,4,"[""Children's Game""]",[],Children's Games,2
7500,Jugurtha: Guerrilla Warfare in Numidia,1998,2,2,360,360,360,12,"['Ancient', 'Expansion for Base-game', 'Wargame']",[],Wargames,0
7501,Hunters from the Sky,1994,2,2,240,240,240,15,"['Wargame', 'World War II']",[],Wargames,1
7502,Leros,1996,2,2,240,240,240,15,"['Wargame', 'World War II']",[],Wargames,0
7503,"A Frozen Hell: The Battle of Tolvajärvi, Russo-Finnish War, 1939",2000,2,2,240,240,240,12,"['Wargame', 'World War II']",[],Wargames,1
7504,Diadochoi: Great Battles of Alexander Module,1995,2,2,240,240,240,12,"['Ancient', 'Expansion for Base-game', 'Wargame']",[],Wargames,0
7505,Phalanx: Great Battles of Alexander Module,1998,2,2,240,240,240,12,"['Ancient', 'Expansion for Base-game', 'Wargame']",[],Wargames,0
7506,"Operation Konrad: The SS Drive to the Danube, January 1945",1983,2,2,180,120,180,12,"['Wargame', 'World War II']",[],Wargames,0
7800,Orient,1973,2,6,45,45,45,0,['Abstract Strategy'],[],Abstract Games,0
7900,Let's Go Sailing,1998,1,6,20,20,20,8,"[""Children's Game"", 'Nautical']",[],Children's Games,0
7901,Yard Sale,1986,1,8,20,20,20,4,"[""Children's Game"", 'Memory']",[],Children's Games,0
7902,Co-Op Marble Games,1997,2,12,20,20,20,6,"['Action / Dexterity', ""Children's Game""]",[],Children's Games,0
7903,Bambino Dino,2001,1,6,30,30,30,4,"[""Children's Game""]",[],Children's Games,0
7904,Fuzzy Math,1985,1,8,20,20,20,5,"[""Children's Game"", 'Educational', 'Math']",[],Children's Games,0
7905,Deep Sea Diver,1986,2,4,30,30,30,7,"[""Children's Game"", 'Exploration', 'Nautical']",[],Children's Games,0
7906,Sky Travelers,1989,2,4,30,30,30,8,"[""Children's Game"", 'Science Fiction']",[],Children's Games,0
7907,Investigators,1989,2,8,30,30,30,8,"[""Children's Game"", 'Deduction']",[],Children's Games,0
8000,Rainbowland,2000,2,6,45,45,45,6,"[""Children's Game""]",[],Children's Games,0
8001,"Tahiti:  Clan Warfare, Polynesia 750 AD",1994,1,4,180,180,180,10,"['Medieval', 'Wargame']",[],Wargames,0
8003,Warhammer Ancient Battles,1998,2,2,120,120,120,14,"['Ancient', 'Book', 'Fighting', 'Miniatures', 'Wargame']",[],Wargames,0
8200,Green Beret,2001,2,2,90,90,90,12,"['Modern Warfare', 'Political', 'Vietnam War', 'Wargame']",[],Wargames,0
8700,Empire (Third Edition),1981,2,2,180,180,180,14,"['Miniatures', 'Napoleonic', 'Wargame']",[],Wargames,0
8701,Power Quest,1987,1,4,90,90,90,10,['Abstract Strategy'],[],Abstract Games,0
8702,1807: The Eagles Turn East,1994,2,2,360,360,360,12,"['Napoleonic', 'Wargame']",[],Wargames,0
8703,"The Ardennes Offensive: The Battle of the Bulge, December 1944",1973,2,2,240,180,240,12,"['Wargame', 'World War II']",[],Wargames,0
8704,Battle of Vittoria,1981,2,2,120,120,120,12,"['Napoleonic', 'Wargame']",[],Wargames,0
8705,Bloody Keren,1986,2,2,90,90,90,12,"['Wargame', 'World War II']",[],Wargames,0
8800,Sacrifice in the East,2001,2,2,60,60,60,12,"['Wargame', 'World War II']",[],Wargames,0
8801,Domino Land,1995,1,4,20,20,20,5,"[""Children's Game"", 'Puzzle']",[],Children's Games,0
8803,The American Revolution 1775-1783,1972,2,2,180,180,180,12,"['Age of Reason', 'American Revolutionary War', 'Wargame']",[],Wargames,0
9200,Heroes Incorporated,2004,2,4,60,60,60,9,['Comic Book / Strip'],[],Strategy Games,0
9201,Spy,2004,2,4,30,30,30,10,"['Abstract Strategy', 'Card Game', 'Spies/Secret Agents']",[],Family Games,0
9202,Saga,2004,2,4,40,40,40,12,"['Card Game', 'Fighting', 'Medieval']",[],Strategy Games,0
9203,Wings of War: Famous Aces,2004,2,4,30,30,30,10,"['Aviation / Flight', 'Card Game', 'Wargame', 'World War I']",[],Thematic Games,3
9204,Cherkassy Pocket: Encirclement at Korsun,2001,2,2,240,240,240,12,"['Wargame', 'World War II']",[],Wargames,0
9206,Tabula,1993,2,4,20,20,20,0,['Abstract Strategy'],[],Abstract Games,0
9207,Hotu Matua,1989,2,2,30,30,30,12,"['Abstract Strategy', 'Nautical']",[],Abstract Games,1
9400,Sea Power,1982,2,2,240,240,240,12,"['Modern Warfare', 'Nautical', 'Wargame']",[],Wargames,0
9401,War Game Rules: Armour & Infantry – 1925-1950,1973,2,2,60,60,60,12,"['Book', 'Korean War', 'Miniatures', 'Wargame', 'World War II']",[],Wargames,0
9500,Sky High!,1992,2,6,30,30,30,4,"['Aviation / Flight', ""Children's Game""]",[],Children's Games,0
9600,Airhead,1986,2,6,10,10,10,4,"['Action / Dexterity', ""Children's Game""]",[],Children's Games,0
9601,Egg Race,1968,2,4,10,10,10,0,"['Action / Dexterity', ""Children's Game""]",[],Children's Games,0
9602,Good Ol' Charlie Brown Game,1971,2,4,20,20,20,6,"[""Children's Game"", 'Comic Book / Strip', 'Movies / TV / Radio theme']",[],Children's Games,0
9603,The Emergency! Game,1973,2,4,10,10,10,8,"[""Children's Game"", 'Medical', 'Movies / TV / Radio theme']",[],Children's Games,0
9604,Snoopy's Doghouse Game,1977,2,4,10,10,10,4,"[""Children's Game"", 'Comic Book / Strip']",[],Children's Games,0
9605,Velveteen Rabbit Game. The,1994,2,4,20,20,20,4,"[""Children's Game"", 'Novel-based']",[],Children's Games,0
9606,Cluzzle,2004,3,6,45,45,45,8,"['Deduction', 'Party Game', 'Puzzle']",[],Party Games,0
9800,For King and Country: ASL module 5a,2003,2,6,240,240,240,12,"['Expansion for Base-game', 'Fighting', 'Wargame', 'World War II']",[],Wargames,0
9801,Ostrakon,2004,5,12,60,60,60,10,"['Card Game', 'Party Game']",[],Party Games,0
10200,Franklin Goes to School: The Game,1986,2,6,20,20,20,8,"[""Children's Game"", 'Educational', 'Memory', 'Movies / TV / Radio theme']",[],Children's Games,0
10300,Group of Soviet Forces Germany,2003,1,2,240,240,240,12,"['Modern Warfare', 'Wargame']",[],Wargames,2
10301,"The Battle of Nations: The Encirclement at Leipzig, 16-19 October 1813",1975,2,2,150,150,150,12,"['Napoleonic', 'Wargame']",[],Wargames,0
10302,Camouflage,1918,2,6,10,10,10,0,"['Abstract Strategy', 'Card Game', 'Wargame', 'World War I']",[],Abstract Games,0
10400,Patience,1783,1,1,10,10,10,8,['Card Game'],[],Abstract Games,0
10401,Pinnacle,1979,2,4,45,45,45,0,"['Abstract Strategy', 'Card Game', 'Racing']",[],Abstract Games,0
10500,Neo-Chess,1972,2,2,60,60,60,8,['Abstract Strategy'],[],Abstract Games,0
10501,Canvas Eagles: War in the Skies 1914 - 1918,1999,2,20,45,45,45,12,"['Aviation / Flight', 'Miniatures', 'Print & Play', 'Wargame', 'World War I']",[],Wargames,0
10502,Poker Dice,0,2,12,10,10,10,8,['Dice'],[],Family Games,0
10503,Teleportals,0,2,6,20,20,20,0,['Abstract Strategy'],[],Abstract Games,0
10601,Bouvines 1214,1994,2,2,120,120,120,0,"['Medieval', 'Wargame']",[],Wargames,0
10602,Crisis Games: Colombia,1990,2,3,120,120,120,12,"['Modern Warfare', 'Wargame']",[],Wargames,0
11500,"Spartan: Tactical Warfare in the Hellenistic Age, 500-100BC",1975,2,2,120,120,120,12,"['Ancient', 'Wargame']",[],Wargames,0
11700,"Defiance: The Battle for Cufra, 1931",2001,2,2,0,0,0,12,"['Wargame', 'World War II']",[],Wargames,0
11701,America Triumphant: The Battle of the Bulge,2003,2,2,90,90,90,12,"['Wargame', 'World War II']",[],Wargames,0
11702,Sand in the Whirlwind,2000,2,2,0,0,0,12,"['Wargame', 'World War I']",[],Wargames,0
11703,War of the States: Chickamauga & Chattanooga,2003,2,2,30,30,30,12,"['American Civil War', 'Wargame']",[],Wargames,0
11705,"Lightning: Midway – June 4th to June 6th, 1942",2004,2,2,30,30,30,9,"['Aviation / Flight', 'Card Game', 'Wargame', 'World War II']",[],Wargames,0
11706,Lightning: D-Day,2004,2,2,30,30,30,9,"['Card Game', 'Wargame', 'World War II']",[],Wargames,0
11707,USN Deluxe,2004,2,2,30,30,30,0,"['Wargame', 'World War II']",[],Wargames,0
11708,War Between The States 1861-1865 (Second Edition),2004,2,2,360,360,360,12,"['American Civil War', 'Wargame']",[],Wargames,0
11710,Santa Incident. The,1992,2,2,30,30,30,0,"['Fantasy', 'Modern Warfare', 'Wargame']",[],Wargames,0
12600,G.I. Joe TCG,2004,2,2,5,5,5,10,"['Card Game', 'Collectible Components', 'Movies / TV / Radio theme']",[],Customizable Games,0
12900,"War In The East: The Russo-German Conflict, 1941-45 (Second Edition)",1976,2,2,480,480,480,12,"['Wargame', 'World War II']",[],Wargames,0
13300,Carcassonne: Die Katharer,2004,2,6,60,60,60,8,"['City Building', 'Expansion for Base-game', 'Medieval']",[],Family Games,0
13301,Caribbean,2004,2,4,30,30,30,8,"['Bluffing', 'Nautical', 'Pirates']",[],Family Games,1
13302,Astromachia,1997,2,2,20,20,20,12,"['Math', 'Science Fiction', 'Wargame']",[],Wargames,0
13303,Barbie: The Princess and the Pauper Game,2004,2,4,20,20,20,4,"[""Children's Game"", 'Dice', 'Fantasy', 'Movies / TV / Radio theme', 'Novel-based']",[],Children's Games,0
13600,Candyland Lotto,1987,2,4,15,15,15,3,"[""Children's Game""]",[],Children's Games,0
13601,Care Bears Touching Tunes,1984,2,4,15,15,15,6,"[""Children's Game"", 'Electronic', 'Music']",[],Children's Games,0
13603,Care Bears: Warm Feelings,1984,2,4,20,20,20,6,"[""Children's Game"", 'Movies / TV / Radio theme']",[],Children's Games,0
13604,Care Bears: Which Bears Where?,1983,1,4,30,30,30,4,"['Card Game', ""Children's Game"", 'Memory', 'Movies / TV / Radio theme']",[],Children's Games,0
13605,The American Revolution,0,0,0,0,0,0,0,"['Age of Reason', 'American Revolutionary War', 'Wargame']",[],Wargames,0
13800,"Cambrai, 1917: The First Blitzkrieg",1974,2,2,120,120,120,12,"['Wargame', 'World War I']",[],Wargames,0
13801,Napoleon's Last Campaigns,1974,2,2,120,120,120,12,"['Napoleonic', 'Wargame']",[],Wargames,0
13802,Omaha Beach,1974,2,2,120,120,120,0,"['Wargame', 'World War II']",[],Wargames,0
13900,Quest for a Girlfriend,2002,0,0,0,0,0,13,"['Abstract Strategy', 'Humor', 'Print & Play']",[],Abstract Games,0
13901,Table Top Troopers,2001,2,2,30,30,30,10,"['Miniatures', 'Print & Play', 'Wargame']",[],Wargames,0
15100,Tektolio,2000,4,0,0,0,0,0,"['Abstract Strategy', 'Humor', 'Party Game']",[],Abstract Games,0
15200,"Borodino, 1812, The Battle for Moscow",0,2,6,150,150,150,12,"['Miniatures', 'Napoleonic', 'Wargame']",[],Wargames,0
15600,Kreta,2005,2,4,60,60,60,11,['Medieval'],[],Strategy Games,1
15601,Kanga-Banga Roo,1995,2,2,10,10,10,3,"['Action / Dexterity', 'Animals', ""Children's Game""]",[],Children's Games,0
